,gemeentenaam,soort_regio,id,codering,aantal_inwoners,woningkenmerken,stadsverwarming
788,Amersfoort,Buurt,16,BU03073001,1770.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10322,Neder-Betuwe,Buurt,58,BU17400107,-422.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15002,Vlissingen,Wijk,34,WK071805,10242.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12302,Roosendaal,Wijk,97,WK167412,1759.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8606,Langedijk,Buurt,46,BU04160006,265.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9865,Meierijstad,Wijk,28,WK194803,-17916.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4412,Edam-Volendam,Buurt,13,BU03850204,1515.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15465,Westland,Buurt,43,BU17830111,-1366.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3516,Dantumadiel,Buurt,17,BU18910301,40.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12075,Rijssen-Holten,Buurt,66,BU17420503,370.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3771,Diemen,Buurt,72,BU03840011,-1534.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,536.0
12978,Stadskanaal,Buurt,28,BU00370100,-1327.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12848,Sluis,Buurt,72,BU17140700,-438.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
205,Alblasserdam,Wijk,10,WK048206,88.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16105,Zandvoort,Buurt,19,BU04730402,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12553,Schiedam,Buurt,91,BU06060905,1409.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8264,Kampen,Buurt,69,BU01660303,-227.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12495,Schiedam,Gemeente,55,GM0606,77838.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4624,Eijsden-Margraten,Buurt,50,BU19030304,111.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7811,Hoogezand-Sappemeer,Buurt,50,BU00180210,352.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11186,OostGelre,Buurt,26,BU15860604,1381.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15410,Westerveld,Buurt,59,BU17010500,151.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10261,Montferland,Buurt,76,BU19550006,174.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15175,Waddinxveen,Buurt,74,BU06270407,415.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
958,Amsterdam,Buurt,68,BU03631201,662.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,1000.0
6919,Heerlen,Buurt,69,BU09172004,1489.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7634,HofvanTwente,Buurt,88,BU17350207,698.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4209,Drechterland,Buurt,34,BU04980500,-900.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5527,Goeree-Overflakkee,Wijk,49,WK192413,1120.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15213,Wassenaar,Buurt,89,BU06290106,302.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2531,Binnenmaas,Buurt,49,BU05850301,86.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12429,Rozendaal,Buurt,6,BU02770009,13.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
898,Amsterdam,Buurt,74,BU03630500,1924.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6541,Hardenberg,Wijk,92,WK016019,2028.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12851,Sluis,Wijk,5,WK171408,-424.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3730,Deventer,Buurt,52,BU01501001,327.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3768,Diemen,Buurt,29,BU03840008,441.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6909,Heerlen,Wijk,14,WK091713,4206.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10893,Oisterwijk,Buurt,58,BU08240201,-3747.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10087,Midden-Drenthe,Buurt,65,BU17310201,-109.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12270,Roosendaal,Wijk,23,WK167405,4980.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13761,Tilburg,Wijk,12,WK085532,7330.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16622,Zwolle,Buurt,11,BU01933010,1888.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,372.0
5249,DeFryskeMarren,Buurt,85,BU19403301,85.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
