,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
3715,1007,Deventer,BU01500705,1.0,,,,2.0,0.0,80.0,260.0,380.0,200.0,200.0,30.0
8856,1008,Leeuwarden,WK008064,1.0,195.0,13.0,584.0,2.0,125.0,85.0,160.0,1125.0,13110.0,9420.0,3700.0
350,1005,Almelo,BU01411401,1.0,11.0,11.0,26.0,1.0,95.0,0.0,85.0,1350.0,1250.0,840.0,420.0
8639,1002,Lansingerland,BU16212311,1.0,31.0,15.0,98.0,1.0,110.0,25.0,120.0,100.0,3830.0,3740.0,100.0
8901,1000,Leiden,BU05460003,1.0,17.0,10.0,40.0,0.0,60.0,90.0,100.0,340.0,10900.0,9950.0,960.0
7185,1003,Hellevoetsluis,BU05300600,1.0,46.0,15.0,146.0,1.0,100.0,0.0,80.0,730.0,4650.0,3790.0,850.0
1924,1009,Barendrecht,BU04895083,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14010,1001,Twenterand,BU17000105,1.0,3.0,68.0,46.0,0.0,10.0,0.0,125.0,810.0,560.0,440.0,120.0
1221,1009,Amsterdam,WK036363,1.0,,,,1.0,105.0,280.0,395.0,795.0,6480.0,5180.0,1300.0
3922,1000,Doetinchem,BU02220804,1.0,6.0,15.0,21.0,,50.0,0.0,200.0,765.0,390.0,310.0,80.0
10958,1004,Oldambt,WK189505,1.0,44.0,,,0.0,95.0,325.0,410.0,1090.0,4720.0,3410.0,1310.0
5245,1003,DeFryskeMarren,BU19403101,1.0,37.0,14.0,124.0,2.0,70.0,60.0,140.0,1235.0,4400.0,3040.0,1370.0
387,1007,Almelo,BU01411903,1.0,34.0,15.0,109.0,,95.0,285.0,410.0,790.0,5760.0,4620.0,1150.0
13657,1000,Tilburg,GM0855,,4931.0,13.0,15275.0,111.0,100.0,170.0,205.0,735.0,728540.0,594400.0,134140.0
3547,1006,Delft,BU05031306,1.0,10.0,8.0,17.0,0.0,45.0,240.0,235.0,370.0,6500.0,5900.0,600.0
1337,1000,Amsterdam,BU03638500,1.0,73.0,,,1.0,85.0,35.0,160.0,910.0,8490.0,6550.0,1950.0
4850,1002,Emmen,BU01141009,1.0,13.0,23.0,69.0,1.0,25.0,0.0,300.0,780.0,680.0,560.0,120.0
6282,1001,Haarlem,BU03921204,1.0,34.0,9.0,68.0,0.0,80.0,0.0,135.0,545.0,3340.0,2890.0,460.0
4547,1002,Eemsmond,BU16510103,1.0,13.0,14.0,40.0,0.0,185.0,0.0,80.0,730.0,550.0,440.0,120.0
5290,1002,Geertruidenberg,BU07790002,1.0,,,,1.0,0.0,0.0,0.0,250.0,200.0,170.0,0.0
12987,1003,Stadskanaal,BU00370109,1.0,58.0,17.0,226.0,2.0,85.0,115.0,255.0,875.0,3390.0,2650.0,750.0
15919,1001,DeWolden,BU16901201,1.0,6.0,20.0,27.0,0.0,70.0,20.0,0.0,665.0,920.0,760.0,160.0
3205,1008,CapelleaandenIJssel,BU05020332,1.0,17.0,10.0,39.0,0.0,105.0,380.0,205.0,515.0,8160.0,7090.0,1060.0
16173,1006,Zeist,BU03550306,1.0,,,,0.0,55.0,270.0,270.0,2465.0,1310.0,500.0,800.0
14535,1009,Veere,BU07170502,1.0,,,,0.0,0.0,0.0,0.0,0.0,120.0,80.0,80.0
9800,1003,Medemblik,WK042012,1.0,46.0,17.0,183.0,,100.0,20.0,175.0,610.0,4170.0,3520.0,640.0
9022,1005,Leidschendam-Voorburg,BU19161201,1.0,8.0,,,0.0,60.0,0.0,20.0,1250.0,1320.0,910.0,440.0
7246,1004,Helmond,BU07942102,1.0,,,,3.0,110.0,15.0,90.0,380.0,10400.0,9400.0,1000.0
5046,1001,Etten-Leur,BU07770100,1.0,,,,,0.0,0.0,0.0,0.0,40.0,40.0,0.0
15355,1005,Werkendam,BU08700492,1.0,,,,0.0,70.0,40.0,300.0,1000.0,400.0,300.0,100.0
8778,1006,Leeuwarden,WK008033,1.0,38.0,,,2.0,75.0,130.0,175.0,560.0,6470.0,5550.0,920.0
3418,1002,Cuijk,GM1684,,706.0,16.0,2623.0,,100.0,100.0,245.0,920.0,84000.0,64580.0,19410.0
6540,1000,Hardenberg,BU01601801,1.0,12.0,24.0,67.0,1.0,75.0,10.0,15.0,940.0,640.0,490.0,160.0
1734,1002,Assen,BU01060705,1.0,94.0,15.0,339.0,2.0,105.0,20.0,145.0,880.0,2950.0,2310.0,650.0
13701,1003,Tilburg,WK085518,3.0,15.0,,,0.0,120.0,305.0,260.0,400.0,14770.0,13290.0,1490.0
13697,1007,Tilburg,BU08551704,3.0,12.0,12.0,30.0,,120.0,145.0,210.0,325.0,3180.0,2920.0,280.0
8063,1009,Houten,BU03213071,1.0,9.0,20.0,42.0,,115.0,0.0,0.0,1135.0,370.0,280.0,120.0
9893,1000,Meierijstad,BU19480409,3.0,14.0,32.0,99.0,1.0,45.0,10.0,110.0,755.0,1440.0,1160.0,280.0
3191,1007,CapelleaandenIJssel,BU05020115,1.0,16.0,12.0,45.0,0.0,75.0,0.0,160.0,695.0,4370.0,3620.0,760.0
9198,1006,Lelystad,BU09957779,1.0,,,,0.0,0.0,0.0,0.0,0.0,140.0,120.0,0.0
13465,1000,Súdwest-Fryslân,BU19001900,1.0,19.0,17.0,69.0,1.0,65.0,30.0,150.0,760.0,1970.0,1590.0,390.0
8592,1008,Landsmeer,BU04150002,1.0,40.0,9.0,89.0,1.0,35.0,20.0,105.0,1150.0,5400.0,3860.0,1560.0
6102,1007,Grootegast,BU00150009,1.0,13.0,38.0,113.0,1.0,85.0,35.0,235.0,690.0,680.0,560.0,120.0
1253,1006,Amsterdam,BU03636902,1.0,17.0,10.0,41.0,0.0,55.0,170.0,200.0,1245.0,5400.0,3730.0,1680.0
6573,1004,Hardenberg,BU01602805,1.0,44.0,17.0,169.0,1.0,85.0,20.0,190.0,1195.0,4380.0,3080.0,1310.0
21,1004,AaenHunze,BU16800609,1.0,,,,,0.0,0.0,0.0,0.0,40.0,30.0,0.0
9497,1005,LoonopZand,BU08093070,1.0,50.0,16.0,180.0,1.0,100.0,40.0,200.0,1315.0,8900.0,5980.0,2930.0
6910,1006,Heerlen,BU09171300,1.0,103.0,15.0,351.0,0.0,95.0,100.0,400.0,1085.0,6170.0,4490.0,1680.0
14728,1007,Venlo,BU09832403,1.0,16.0,,,0.0,105.0,45.0,300.0,495.0,3240.0,2820.0,430.0
14586,1009,Velsen,GM0453,,1156.0,11.0,2773.0,18.0,80.0,100.0,215.0,895.0,229110.0,177860.0,51260.0
15603,1009,Westvoorne,WK061400,1.0,288.0,,,6.0,65.0,60.0,135.0,1140.0,21950.0,15660.0,6300.0
8429,1004,Korendijk,BU05880309,1.0,17.0,10.0,40.0,1.0,60.0,0.0,80.0,730.0,930.0,760.0,170.0
3107,1006,Brunssum,BU08990519,1.0,46.0,16.0,156.0,1.0,80.0,75.0,380.0,795.0,3990.0,3190.0,790.0
